year,country_code,country,player_name,player_name_norm,position,dob,age_at_tournament,caps,goals,club,club_country,data_tier
2018,EGY,Egypt,Essam El Hadary,essam el hadary,GK,1973-01-15,45,158,0,Al Taawoun,,
2018,EGY,Egypt,Ali Gabr,ali gabr,DF,1989-01-01,29,21,1,West Bromwich Albion,,
2018,EGY,Egypt,Ahmed Elmohamady,ahmed elmohamady,DF,1987-09-09,30,78,2,Aston Villa,,
2018,EGY,Egypt,Omar Gaber,omar gaber,MF,1992-01-30,26,24,0,Los Angeles FC,,
2018,EGY,Egypt,Sam Morsy,sam morsy,MF,1991-09-10,26,5,0,Wigan Athletic,,
2018,EGY,Egypt,Ahmed Hegazi,ahmed hegazi,DF,1991-01-25,27,45,1,West Bromwich Albion,,
2018,EGY,Egypt,Ahmed Fathy,ahmed fathy,DF,1984-11-10,33,126,3,Al Ahly,,
2018,EGY,Egypt,Tarek Hamed,tarek hamed,MF,1988-10-24,29,21,0,Zamalek,,
2018,EGY,Egypt,Marwan Mohsen,marwan mohsen,FW,1989-02-26,29,24,4,Al Ahly,,
2018,EGY,Egypt,Mohamed Salah,mohamed salah,FW,1992-06-15,25,57,33,Liverpool,,
2018,EGY,Egypt,Kahraba,kahraba,FW,1994-04-13,24,19,3,Al-Ittihad,,
2018,EGY,Egypt,Ayman Ashraf,ayman ashraf,DF,1991-04-09,27,4,0,Al Ahly,,
2018,EGY,Egypt,Mohamed Abdel Shafy,mohamed abdel shafy,DF,1985-07-01,32,51,1,Al Fateh,,
2018,EGY,Egypt,Ramadan Sobhi,ramadan sobhi,FW,1997-01-23,21,23,1,Stoke City,,
2018,EGY,Egypt,Mahmoud Hamdy,mahmoud hamdy,DF,1995-06-01,23,0,0,Zamalek,,
2018,EGY,Egypt,Sherif Ekramy,sherif ekramy,GK,1983-07-10,34,22,0,Al Ahly,,
2018,EGY,Egypt,Mohamed Elneny,mohamed elneny,MF,1992-07-11,25,61,5,Arsenal,,
2018,EGY,Egypt,Shikabala,shikabala,FW,1986-03-05,32,29,2,Al Raed,,
2018,EGY,Egypt,Abdallah El Said,abdallah el said,MF,1985-07-13,32,36,6,KuPS,,
2018,EGY,Egypt,Saad Samir,saad samir,DF,1989-04-01,29,11,0,Al Ahly,,
2018,EGY,Egypt,Trézéguet,trezeguet,MF,1994-10-01,23,24,2,Kasımpaşa,,
2018,EGY,Egypt,Amr Warda,amr warda,FW,1993-09-17,24,16,0,Atromitos,,
2018,EGY,Egypt,Mohamed El Shenawy,mohamed el shenawy,GK,1988-12-18,29,3,0,Al Ahly,,
2018,RUS,Russia,Igor Akinfeev,igor akinfeev,GK,1986-04-08,32,106,0,CSKA Moscow,,
2018,RUS,Russia,Mário Fernandes,mario fernandes,DF,1990-09-19,27,5,0,CSKA Moscow,,
2018,RUS,Russia,Ilya Kutepov,ilya kutepov,DF,1993-07-29,24,7,0,Spartak Moscow,,
2018,RUS,Russia,Sergei Ignashevich,sergei ignashevich,DF,1979-07-14,38,122,8,CSKA Moscow,,
2018,RUS,Russia,Andrei Semyonov,andrei semyonov,DF,1989-03-24,29,6,0,Akhmat Grozny,,
2018,RUS,Russia,Denis Cheryshev,denis cheryshev,MF,1990-12-26,27,11,0,Villarreal,,
2018,RUS,Russia,Daler Kuzyayev,daler kuzyayev,MF,1993-01-15,25,6,0,Zenit Saint Petersburg,,
2018,RUS,Russia,Yury Gazinsky,yury gazinsky,MF,1989-07-20,28,6,0,Krasnodar,,
2018,RUS,Russia,Alan Dzagoev,alan dzagoev,MF,1990-06-17,27,57,9,CSKA Moscow,,
2018,RUS,Russia,Fyodor Smolov,fyodor smolov,FW,1990-02-09,28,32,12,Krasnodar,,
2018,RUS,Russia,Roman Zobnin,roman zobnin,MF,1994-02-11,24,12,0,Spartak Moscow,,
2018,RUS,Russia,Andrey Lunyov,andrey lunyov,GK,1991-11-13,26,3,0,Zenit Saint Petersburg,,
2018,RUS,Russia,Fyodor Kudryashov,fyodor kudryashov,DF,1987-04-05,31,19,0,Rubin Kazan,,
2018,RUS,Russia,Vladimir Granat,vladimir granat,DF,1987-05-22,31,12,1,Rubin Kazan,,
2018,RUS,Russia,Aleksei Miranchuk,aleksei miranchuk,MF,1995-10-17,22,18,4,Lokomotiv Moscow,,
2018,RUS,Russia,Anton Miranchuk,anton miranchuk,MF,1995-10-17,22,6,0,Lokomotiv Moscow,,
2018,RUS,Russia,Aleksandr Golovin,aleksandr golovin,MF,1996-05-30,22,19,2,CSKA Moscow,,
2018,RUS,Russia,Yuri Zhirkov,yuri zhirkov,MF,1983-08-20,34,84,2,Zenit Saint Petersburg,,
2018,RUS,Russia,Aleksandr Samedov,aleksandr samedov,MF,1984-07-19,33,48,7,Spartak Moscow,,
2018,RUS,Russia,Vladimir Gabulov,vladimir gabulov,GK,1983-10-19,34,10,0,Club Brugge,,
2018,RUS,Russia,Aleksandr Yerokhin,aleksandr yerokhin,MF,1989-10-13,28,17,0,Zenit Saint Petersburg,,
2018,RUS,Russia,Artem Dzyuba,artem dzyuba,FW,1988-08-22,29,23,11,Arsenal Tula,,
2018,RUS,Russia,Igor Smolnikov,igor smolnikov,DF,1988-08-08,29,27,0,Zenit Saint Petersburg,,
2018,KSA,Saudi Arabia,Abdullah Al-Mayouf,abdullah al-mayouf,GK,1987-01-23,31,11,0,Al Hilal,,
2018,KSA,Saudi Arabia,Mansoor Al-Harbi,mansoor al-harbi,DF,1987-10-19,30,40,1,Al Ahli,,
2018,KSA,Saudi Arabia,Osama Hawsawi,osama hawsawi,DF,1984-03-31,34,135,7,Al Hilal,,
2018,KSA,Saudi Arabia,Ali Al-Bulaihi,ali al-bulaihi,DF,1989-11-21,28,4,0,Al Hilal,,
2018,KSA,Saudi Arabia,Omar Hawsawi,omar hawsawi,DF,1985-09-27,32,42,3,Al Nassr,,
2018,KSA,Saudi Arabia,Mohammed Al-Breik,mohammed al-breik,DF,1992-09-15,25,11,1,Al Hilal,,
2018,KSA,Saudi Arabia,Salman Al-Faraj,salman al-faraj,MF,1989-08-01,28,43,3,Al Hilal,,
2018,KSA,Saudi Arabia,Yahya Al-Shehri,yahya al-shehri,MF,1990-06-26,27,57,8,Leganés,,
2018,KSA,Saudi Arabia,Hattan Bahebri,hattan bahebri,MF,1992-07-16,25,5,0,Al Shabab,,
2018,KSA,Saudi Arabia,Mohammad Al-Sahlawi,mohammad al-sahlawi,FW,1987-01-10,31,40,28,Al Nassr,,
2018,KSA,Saudi Arabia,Abdulmalek Al-Khaibri,abdulmalek al-khaibri,MF,1986-03-13,32,36,0,Al Hilal,,
2018,KSA,Saudi Arabia,Mohamed Kanno,mohamed kanno,MF,1994-09-22,23,6,1,Al Hilal,,
2018,KSA,Saudi Arabia,Yasser Al-Shahrani,yasser al-shahrani,DF,1992-05-25,26,37,0,Al Hilal,,
2018,KSA,Saudi Arabia,Abdullah Otayf,abdullah otayf,MF,1992-08-03,25,16,1,Al Hilal,,
2018,KSA,Saudi Arabia,Abdullah Al-Khaibari,abdullah al-khaibari,MF,1996-08-16,21,5,0,Al Shabab,,
2018,KSA,Saudi Arabia,Housain Al-Mogahwi,housain al-mogahwi,MF,1988-03-24,30,18,1,Al Ahli,,
2018,KSA,Saudi Arabia,Taisir Al-Jassim,taisir al-jassim,MF,1984-07-25,33,132,19,Al Ahli,,
2018,KSA,Saudi Arabia,Salem Al-Dawsari,salem al-dawsari,MF,1991-08-19,26,33,4,Villarreal,,
2018,KSA,Saudi Arabia,Fahad Al-Muwallad,fahad al-muwallad,FW,1994-09-14,23,45,10,Levante,,
