year,country_code,country,player_name,player_name_norm,position,dob,age_at_tournament,caps,goals,club,club_country,data_tier
2018,KSA,Saudi Arabia,Muhannad Assiri,muhannad assiri,FW,1986-10-14,31,18,4,Al Ahli,,
2018,KSA,Saudi Arabia,Yasser Al-Mosailem,yasser al-mosailem,GK,1984-02-27,34,32,0,Al Ahli,,
2018,KSA,Saudi Arabia,Mohammed Al-Owais,mohammed al-owais,GK,1991-10-10,26,6,0,Al Ahli,,
2018,KSA,Saudi Arabia,Motaz Hawsawi,motaz hawsawi,DF,1992-02-17,26,17,0,Al Ahli,,
2018,URU,Uruguay,Fernando Muslera,fernando muslera,GK,1986-06-16,31,97,0,Galatasaray,,
2018,URU,Uruguay,José Giménez,jose gimenez,DF,1995-01-20,23,42,5,Atlético Madrid,,
2018,URU,Uruguay,Diego Godín,diego godin,DF,1986-02-16,32,116,8,Atlético Madrid,,
2018,URU,Uruguay,Guillermo Varela,guillermo varela,DF,1993-03-24,25,3,0,Peñarol,,
2018,URU,Uruguay,Carlos Sánchez,carlos sanchez,MF,1984-12-02,33,36,1,Monterrey,,
2018,URU,Uruguay,Rodrigo Bentancur,rodrigo bentancur,MF,1997-06-25,20,7,0,Juventus,,
2018,URU,Uruguay,Cristian Rodríguez,cristian rodriguez,MF,1985-09-30,32,105,11,Peñarol,,
2018,URU,Uruguay,Nahitan Nández,nahitan nandez,MF,1995-12-28,22,12,0,Boca Juniors,,
2018,URU,Uruguay,Luis Suárez,luis suarez,FW,1987-01-24,31,98,51,Barcelona,,
2018,URU,Uruguay,Giorgian de Arrascaeta,giorgian de arrascaeta,FW,1994-06-01,24,14,2,Cruzeiro,,
2018,URU,Uruguay,Cristhian Stuani,cristhian stuani,FW,1986-10-12,31,41,5,Girona,,
2018,URU,Uruguay,Martín Campaña,martin campana,GK,1989-05-29,29,1,0,Independiente,,
2018,URU,Uruguay,Gastón Silva,gaston silva,DF,1994-03-05,24,17,0,Independiente,,
2018,URU,Uruguay,Lucas Torreira,lucas torreira,MF,1996-02-11,22,3,0,Sampdoria,,
2018,URU,Uruguay,Matías Vecino,matias vecino,MF,1991-08-24,26,22,1,Inter Milan,,
2018,URU,Uruguay,Maxi Pereira,maxi pereira,DF,1984-06-08,34,125,3,Porto,,
2018,URU,Uruguay,Diego Laxalt,diego laxalt,MF,1993-02-07,25,6,0,Genoa,,
2018,URU,Uruguay,Maxi Gómez,maxi gomez,FW,1996-08-14,21,5,0,Celta Vigo,,
2018,URU,Uruguay,Sebastián Coates,sebastian coates,DF,1990-10-07,27,30,1,Sporting CP,,
2018,URU,Uruguay,Jonathan Urretaviscaya,jonathan urretaviscaya,FW,1990-03-19,28,4,0,Monterrey,,
2018,URU,Uruguay,Edinson Cavani,edinson cavani,FW,1987-02-14,31,101,42,Paris Saint-Germain,,
2018,URU,Uruguay,Martín Cáceres,martin caceres,DF,1987-04-07,31,76,4,Lazio,,
2018,URU,Uruguay,Martín Silva,martin silva,GK,1983-03-25,35,11,0,Vasco da Gama,,
2018,IRN,Iran,Alireza Beiranvand,alireza beiranvand,GK,1992-09-21,25,22,0,Persepolis,,
2018,IRN,Iran,Mehdi Torabi,mehdi torabi,MF,1994-09-10,23,17,4,Saipa,,
2018,IRN,Iran,Ehsan Hajsafi,ehsan hajsafi,DF,1990-02-25,28,94,6,Olympiacos,,
2018,IRN,Iran,Rouzbeh Cheshmi,rouzbeh cheshmi,MF,1993-07-24,24,10,1,Esteghlal,,
2018,IRN,Iran,Milad Mohammadi,milad mohammadi,DF,1993-09-29,24,19,0,Akhmat Grozny,,
2018,IRN,Iran,Saeid Ezatolahi,saeid ezatolahi,MF,1996-10-01,21,25,1,Amkar Perm,,
2018,IRN,Iran,Masoud Shojaei,masoud shojaei,MF,1984-06-09,34,74,8,AEK Athens,,
2018,IRN,Iran,Morteza Pouraliganji,morteza pouraliganji,DF,1992-04-19,26,27,2,Al Sadd,,
2018,IRN,Iran,Omid Ebrahimi,omid ebrahimi,MF,1987-09-16,30,30,0,Esteghlal,,
2018,IRN,Iran,Karim Ansarifard,karim ansarifard,FW,1990-04-03,28,64,17,Olympiacos,,
2018,IRN,Iran,Vahid Amiri,vahid amiri,MF,1988-04-02,30,36,1,Persepolis,,
2018,IRN,Iran,Mohammad Rashid Mazaheri,mohammad rashid mazaheri,GK,1989-05-18,29,3,0,Zob Ahan,,
2018,IRN,Iran,Mohammad Reza Khanzadeh,mohammad reza khanzadeh,DF,1991-05-11,27,11,1,Padideh,,
2018,IRN,Iran,Saman Ghoddos,saman ghoddos,MF,1993-09-06,24,8,1,Östersund,,
2018,IRN,Iran,Pejman Montazeri,pejman montazeri,DF,1983-09-06,34,46,1,Esteghlal,,
2018,IRN,Iran,Reza Ghoochannejhad,reza ghoochannejhad,FW,1987-09-20,30,43,17,Heerenveen,,
2018,IRN,Iran,Mehdi Taremi,mehdi taremi,FW,1992-07-18,25,26,11,Al-Gharafa,,
2018,IRN,Iran,Alireza Jahanbakhsh,alireza jahanbakhsh,FW,1993-08-11,24,38,4,AZ,,
2018,IRN,Iran,Majid Hosseini,majid hosseini,DF,1996-06-20,21,1,0,Esteghlal,,
2018,IRN,Iran,Sardar Azmoun,sardar azmoun,FW,1995-01-01,23,33,23,Rubin Kazan,,
2018,IRN,Iran,Ashkan Dejagah,ashkan dejagah,MF,1986-07-05,31,46,9,Nottingham Forest,,
2018,IRN,Iran,Amir Abedzadeh,amir abedzadeh,GK,1993-04-26,25,1,0,Marítimo,,
2018,IRN,Iran,Ramin Rezaeian,ramin rezaeian,DF,1990-03-21,28,28,2,Oostende,,
2018,MAR,Morocco,Yassine Bounou,yassine bounou,GK,1991-04-05,27,11,0,Girona,,
2018,MAR,Morocco,Achraf Hakimi,achraf hakimi,DF,1998-11-04,19,10,1,Real Madrid,,
2018,MAR,Morocco,Hamza Mendyl,hamza mendyl,DF,1997-10-21,20,13,0,Lille,,
2018,MAR,Morocco,Manuel da Costa,manuel da costa,DF,1986-05-06,32,28,1,İstanbul Başakşehir,,
2018,MAR,Morocco,Medhi Benatia,medhi benatia,DF,1987-04-17,31,57,2,Juventus,,
2018,MAR,Morocco,Romain Saïss,romain saiss,DF,1990-03-26,28,24,1,Wolverhampton Wanderers,,
2018,MAR,Morocco,Hakim Ziyech,hakim ziyech,MF,1993-03-19,25,18,9,Ajax,,
2018,MAR,Morocco,Karim El Ahmadi,karim el ahmadi,MF,1985-01-27,33,51,1,Feyenoord,,
2018,MAR,Morocco,Ayoub El Kaabi,ayoub el kaabi,FW,1993-06-25,24,10,11,RS Berkane,,
2018,MAR,Morocco,Younès Belhanda,younes belhanda,MF,1990-02-25,28,47,5,Galatasaray,,
2018,MAR,Morocco,Fayçal Fajr,faycal fajr,MF,1988-08-01,29,23,2,Getafe,,
2018,MAR,Morocco,Munir Mohamedi,munir mohamedi,GK,1989-05-10,29,27,0,Numancia,,
2018,MAR,Morocco,Khalid Boutaïb,khalid boutaib,FW,1987-04-24,31,18,7,Yeni Malatyaspor,,
2018,MAR,Morocco,Mbark Boussoufa,mbark boussoufa,MF,1984-08-15,33,59,7,Al Jazira,,
2018,MAR,Morocco,Youssef Aït Bennasser,youssef ait bennasser,MF,1996-07-07,21,14,0,Caen,,
2018,MAR,Morocco,Nordin Amrabat,nordin amrabat,MF,1987-03-31,31,44,4,Leganés,,
2018,MAR,Morocco,Nabil Dirar,nabil dirar,DF,1986-02-25,32,34,3,Fenerbahçe,,
2018,MAR,Morocco,Amine Harit,amine harit,MF,1997-06-18,20,6,0,Schalke 04,,
2018,MAR,Morocco,Youssef En-Nesyri,youssef en-nesyri,FW,1997-06-01,21,16,2,Málaga,,
2018,MAR,Morocco,Aziz Bouhaddouz,aziz bouhaddouz,FW,1987-03-30,31,15,3,FC St. Pauli,,
2018,MAR,Morocco,Sofyan Amrabat,sofyan amrabat,MF,1996-08-21,21,6,0,Feyenoord,,
2018,MAR,Morocco,Ahmed Reda Tagnaouti,ahmed reda tagnaouti,GK,1996-04-05,22,2,0,IR Tanger,,
2018,MAR,Morocco,Mehdi Carcela,mehdi carcela,MF,1989-07-01,28,20,1,Standard Liège,,
2018,POR,Portugal,Rui Patrício,rui patricio,GK,1988-02-15,30,69,0,Sporting CP,,
2018,POR,Portugal,Bruno Alves,bruno alves,DF,1981-11-27,36,96,11,Rangers,,
2018,POR,Portugal,Pepe,pepe,DF,1983-02-26,35,95,5,Beşiktaş,,
2018,POR,Portugal,Manuel Fernandes,manuel fernandes,MF,1986-02-05,32,14,3,Lokomotiv Moscow,,
2018,POR,Portugal,Raphaël Guerreiro,raphael guerreiro,DF,1993-12-22,24,24,2,Borussia Dortmund,,
2018,POR,Portugal,José Fonte,jose fonte,DF,1983-12-22,34,31,0,Dalian Yifang,,
2018,POR,Portugal,Cristiano Ronaldo,cristiano ronaldo,FW,1985-02-05,33,150,81,Real Madrid,,
2018,POR,Portugal,João Moutinho,joao moutinho,MF,1986-09-08,31,110,7,Monaco,,
2018,POR,Portugal,André Silva,andre silva,FW,1995-11-06,22,23,12,Milan,,
2018,POR,Portugal,João Mário,joao mario,MF,1993-01-19,25,36,2,West Ham United,,
2018,POR,Portugal,Bernardo Silva,bernardo silva,MF,1994-08-10,23,25,2,Manchester City,,
2018,POR,Portugal,Anthony Lopes,anthony lopes,GK,1990-10-01,27,7,0,Lyon,,
2018,POR,Portugal,Rúben Dias,ruben dias,DF,1997-05-14,21,1,0,Benfica,,
2018,POR,Portugal,William Carvalho,william carvalho,MF,1992-04-07,26,43,2,Sporting CP,,
2018,POR,Portugal,Ricardo Pereira,ricardo pereira,DF,1993-10-06,24,4,0,Porto,,
2018,POR,Portugal,Bruno Fernandes,bruno fernandes,MF,1994-09-08,23,6,1,Sporting CP,,
2018,POR,Portugal,Gonçalo Guedes,goncalo guedes,FW,1996-11-29,21,10,3,Valencia,,
2018,POR,Portugal,Gelson Martins,gelson martins,FW,1995-05-11,23,18,0,Sporting CP,,
2018,POR,Portugal,Mário Rui,mario rui,DF,1991-05-27,27,4,0,Napoli,,
2018,POR,Portugal,Ricardo Quaresma,ricardo quaresma,FW,1983-09-26,34,77,9,Beşiktaş,,
2018,POR,Portugal,Cédric,cedric,DF,1991-08-31,26,29,1,Southampton,,
2018,POR,Portugal,Beto,beto,GK,1982-05-01,36,14,0,Göztepe,,
2018,POR,Portugal,Adrien Silva,adrien silva,MF,1989-03-15,29,23,1,Leicester City,,
2018,ESP,Spain,David de Gea,david de gea,GK,1990-11-07,27,29,0,Manchester United,,
2018,ESP,Spain,Dani Carvajal,dani carvajal,DF,1992-01-11,26,15,0,Real Madrid,,
2018,ESP,Spain,Gerard Piqué,gerard pique,DF,1987-02-02,31,98,5,Barcelona,,
2018,ESP,Spain,Nacho,nacho,DF,1990-01-18,28,17,0,Real Madrid,,
2018,ESP,Spain,Sergio Busquets,sergio busquets,MF,1988-07-16,29,103,2,Barcelona,,
2018,ESP,Spain,Andrés Iniesta,andres iniesta,MF,1984-05-11,34,127,14,Barcelona,,
2018,ESP,Spain,Saúl,saul,MF,1994-11-21,23,10,0,Atlético Madrid,,
2018,ESP,Spain,Koke,koke,MF,1992-01-08,26,40,0,Atlético Madrid,,
2018,ESP,Spain,Rodrigo,rodrigo,FW,1991-03-06,27,6,2,Valencia,,
2018,ESP,Spain,Thiago,thiago,MF,1991-04-11,27,29,2,Bayern Munich,,
2018,ESP,Spain,Lucas Vázquez,lucas vazquez,FW,1991-07-01,26,7,0,Real Madrid,,
2018,ESP,Spain,Álvaro Odriozola,alvaro odriozola,DF,1995-12-14,22,4,1,Real Sociedad,,
2018,ESP,Spain,Kepa Arrizabalaga,kepa arrizabalaga,GK,1994-10-03,23,1,0,Athletic Bilbao,,
2018,ESP,Spain,César Azpilicueta,cesar azpilicueta,DF,1989-08-28,28,22,0,Chelsea,,
2018,ESP,Spain,Sergio Ramos,sergio ramos,DF,1986-03-30,32,152,13,Real Madrid,,
2018,ESP,Spain,Nacho Monreal,nacho monreal,DF,1986-02-26,32,22,1,Arsenal,,
2018,ESP,Spain,Iago Aspas,iago aspas,FW,1987-08-01,30,10,5,Celta Vigo,,
2018,ESP,Spain,Jordi Alba,jordi alba,DF,1989-03-21,29,62,8,Barcelona,,
2018,ESP,Spain,Diego Costa,diego costa,FW,1988-10-07,29,20,7,Atlético Madrid,,
2018,ESP,Spain,Marco Asensio,marco asensio,MF,1996-01-21,22,12,0,Real Madrid,,
2018,ESP,Spain,David Silva,david silva,FW,1986-01-08,32,121,35,Manchester City,,
2018,ESP,Spain,Isco,isco,MF,1992-04-21,26,28,10,Real Madrid,,
2018,ESP,Spain,Pepe Reina,pepe reina,GK,1982-08-31,35,36,0,Napoli,,
2018,AUS,Australia,Mathew Ryan,mathew ryan,GK,1992-04-08,26,44,0,Brighton & Hove Albion,,
2018,AUS,Australia,Miloš Degenek,milos degenek,DF,1994-04-28,24,18,0,Yokohama F. Marinos,,
2018,AUS,Australia,James Meredith,james meredith,DF,1988-04-05,30,2,0,Millwall,,
2018,AUS,Australia,Tim Cahill,tim cahill,FW,1979-12-06,38,106,50,Millwall,,
2018,AUS,Australia,Mark Milligan,mark milligan,DF,1985-08-04,32,71,6,Al Ahli,,
2018,AUS,Australia,Matthew Jurman,matthew jurman,DF,1989-12-08,28,4,0,Suwon Samsung Bluewings,,
2018,AUS,Australia,Mathew Leckie,mathew leckie,FW,1991-02-04,27,53,8,Hertha BSC,,
2018,AUS,Australia,Massimo Luongo,massimo luongo,MF,1992-09-25,25,36,5,Queens Park Rangers,,
2018,AUS,Australia,Tomi Juric,tomi juric,FW,1991-07-22,26,35,8,Luzern,,
2018,AUS,Australia,Robbie Kruse,robbie kruse,FW,1988-10-05,29,64,5,VfL Bochum,,
2018,AUS,Australia,Andrew Nabbout,andrew nabbout,FW,1992-12-17,25,4,1,Urawa Red Diamonds,,
2018,AUS,Australia,Brad Jones,brad jones,GK,1982-03-19,36,6,0,Feyenoord,,
2018,AUS,Australia,Aaron Mooy,aaron mooy,MF,1990-09-15,27,34,5,Huddersfield Town,,
2018,AUS,Australia,Jamie Maclaren,jamie maclaren,FW,1993-07-29,24,6,0,Hibernian,,
2018,AUS,Australia,Mile Jedinak,mile jedinak,MF,1984-08-03,33,76,18,Aston Villa,,
2018,AUS,Australia,Aziz Behich,aziz behich,DF,1990-12-16,27,23,2,Bursaspor,,
2018,AUS,Australia,Daniel Arzani,daniel arzani,FW,1999-01-04,19,2,1,Melbourne City,,
2018,AUS,Australia,Danny Vukovic,danny vukovic,GK,1985-03-27,33,1,0,Genk,,
2018,AUS,Australia,Josh Risdon,josh risdon,DF,1992-07-27,25,8,0,Western Sydney Wanderers,,
2018,AUS,Australia,Trent Sainsbury,trent sainsbury,DF,1992-01-05,26,35,3,Grasshopper,,
2018,AUS,Australia,Dimitri Petratos,dimitri petratos,FW,1992-11-10,25,2,0,Newcastle Jets,,
2018,AUS,Australia,Jackson Irvine,jackson irvine,MF,1993-03-07,25,19,2,Hull City,,
2018,AUS,Australia,Tom Rogic,tom rogic,MF,1992-12-16,25,37,7,Celtic,,
2018,DEN,Denmark,Kasper Schmeichel,kasper schmeichel,GK,1986-11-05,31,35,0,Leicester City,,
2018,DEN,Denmark,Michael Krohn-Dehli,michael krohn-dehli,MF,1983-06-06,35,59,6,Deportivo La Coruña,,
2018,DEN,Denmark,Jannik Vestergaard,jannik vestergaard,DF,1992-08-03,25,16,1,Borussia Mönchengladbach,,
2018,DEN,Denmark,Simon Kjær,simon kjr,DF,1989-03-26,29,78,3,Sevilla,,
2018,DEN,Denmark,Jonas Knudsen,jonas knudsen,DF,1992-09-16,25,3,0,Ipswich Town,,
2018,DEN,Denmark,Andreas Christensen,andreas christensen,DF,1996-04-10,22,16,1,Chelsea,,
2018,DEN,Denmark,William Kvist,william kvist,MF,1985-02-24,33,80,2,Copenhagen,,
2018,DEN,Denmark,Thomas Delaney,thomas delaney,MF,1991-09-03,26,27,4,Werder Bremen,,
2018,DEN,Denmark,Nicolai Jørgensen,nicolai jrgensen,FW,1991-01-15,27,31,8,Feyenoord,,
2018,DEN,Denmark,Christian Eriksen,christian eriksen,MF,1992-02-14,26,78,22,Tottenham Hotspur,,
2018,DEN,Denmark,Martin Braithwaite,martin braithwaite,FW,1991-06-05,27,20,1,Bordeaux,,
2018,DEN,Denmark,Kasper Dolberg,kasper dolberg,FW,1997-10-06,20,6,1,Ajax,,
2018,DEN,Denmark,Mathias Jørgensen,mathias jrgensen,DF,1990-04-23,28,12,0,Huddersfield Town,,
2018,DEN,Denmark,Henrik Dalsgaard,henrik dalsgaard,DF,1989-07-27,28,11,0,Brentford,,
2018,DEN,Denmark,Viktor Fischer,viktor fischer,FW,1994-06-09,24,19,3,Copenhagen,,
2018,DEN,Denmark,Jonas Lössl,jonas lossl,GK,1989-02-01,29,1,0,Huddersfield Town,,
2018,DEN,Denmark,Jens Stryger Larsen,jens stryger larsen,DF,1991-02-21,27,13,1,Udinese,,
2018,DEN,Denmark,Lukas Lerager,lukas lerager,MF,1993-07-12,24,4,0,Bordeaux,,
2018,DEN,Denmark,Lasse Schöne,lasse schone,MF,1986-05-27,32,36,3,Ajax,,
2018,DEN,Denmark,Yussuf Poulsen,yussuf poulsen,FW,1994-06-15,23,28,4,RB Leipzig,,
2018,DEN,Denmark,Andreas Cornelius,andreas cornelius,FW,1993-03-16,25,18,4,Atalanta,,
2018,DEN,Denmark,Frederik Rønnow,frederik rnnow,GK,1992-08-04,25,6,0,Brøndby,,
2018,DEN,Denmark,Pione Sisto,pione sisto,FW,1995-02-04,23,14,1,Celta Vigo,,
2018,FRA,France,Hugo Lloris,hugo lloris,GK,1986-12-26,31,98,0,Tottenham Hotspur,,
2018,FRA,France,Benjamin Pavard,benjamin pavard,DF,1996-03-28,22,6,0,VfB Stuttgart,,
2018,FRA,France,Presnel Kimpembe,presnel kimpembe,DF,1995-08-13,22,2,0,Paris Saint-Germain,,
2018,FRA,France,Raphaël Varane,raphael varane,DF,1993-04-25,25,42,2,Real Madrid,,
2018,FRA,France,Samuel Umtiti,samuel umtiti,DF,1993-11-14,24,19,2,Barcelona,,
2018,FRA,France,Paul Pogba,paul pogba,MF,1993-03-15,25,54,9,Manchester United,,
2018,FRA,France,Antoine Griezmann,antoine griezmann,FW,1991-03-21,27,54,20,Atlético Madrid,,
2018,FRA,France,Thomas Lemar,thomas lemar,FW,1995-11-12,22,12,3,Monaco,,
2018,FRA,France,Olivier Giroud,olivier giroud,FW,1986-09-30,31,74,31,Chelsea,,
2018,FRA,France,Kylian Mbappé,kylian mbappe,FW,1998-12-20,19,15,4,Paris Saint-Germain,,
2018,FRA,France,Ousmane Dembélé,ousmane dembele,FW,1997-05-15,21,12,2,Barcelona,,
2018,FRA,France,Corentin Tolisso,corentin tolisso,MF,1994-08-03,23,9,0,Bayern Munich,,
2018,FRA,France,N'Golo Kanté,n'golo kante,MF,1991-03-29,27,24,1,Chelsea,,
2018,FRA,France,Blaise Matuidi,blaise matuidi,MF,1987-04-09,31,67,9,Juventus,,
2018,FRA,France,Steven Nzonzi,steven nzonzi,MF,1988-12-15,29,4,0,Sevilla,,
2018,FRA,France,Steve Mandanda,steve mandanda,GK,1985-03-28,33,27,0,Marseille,,
2018,FRA,France,Adil Rami,adil rami,DF,1985-12-27,32,35,1,Marseille,,
2018,FRA,France,Nabil Fekir,nabil fekir,FW,1993-07-18,24,12,2,Lyon,,
2018,FRA,France,Djibril Sidibé,djibril sidibe,DF,1992-07-29,25,17,1,Monaco,,
2018,FRA,France,Florian Thauvin,florian thauvin,FW,1993-01-26,25,4,0,Marseille,,
2018,FRA,France,Lucas Hernandez,lucas hernandez,DF,1996-02-14,22,5,0,Atlético Madrid,,
2018,FRA,France,Benjamin Mendy,benjamin mendy,DF,1994-07-17,23,7,0,Manchester City,,
2018,FRA,France,Alphonse Areola,alphonse areola,GK,1993-02-27,25,0,0,Paris Saint-Germain,,
2018,PER,Peru,Pedro Gallese,pedro gallese,GK,1990-02-23,28,38,0,Veracruz,,
2018,PER,Peru,Alberto Rodríguez,alberto rodriguez,DF,1984-03-31,34,74,0,Atlético Junior,,
