year,country_code,country,player_name,player_name_norm,position,dob,age_at_tournament,caps,goals,club,club_country,data_tier
2022,ECU,Ecuador,Hernán Galíndez,hernan galindez,GK,1987-03-30,35,12,0,Aucas,,
2022,ECU,Ecuador,Félix Torres,felix torres,DF,1997-01-11,25,17,2,Santos Laguna,,
2022,ECU,Ecuador,Piero Hincapié,piero hincapie,DF,2002-01-09,20,21,1,Bayer Leverkusen,,
2022,ECU,Ecuador,Robert Arboleda,robert arboleda,DF,1991-10-22,31,33,2,São Paulo,,
2022,ECU,Ecuador,José Cifuentes,jose cifuentes,MF,1999-03-12,23,11,0,Los Angeles FC,,
2022,ECU,Ecuador,Willian Pacho,willian pacho,DF,2001-10-16,21,0,0,Antwerp,,
2022,ECU,Ecuador,Pervis Estupiñán,pervis estupinan,DF,1998-01-21,24,28,3,Brighton & Hove Albion,,
2022,ECU,Ecuador,Carlos Gruezo,carlos gruezo,DF,1995-04-19,27,46,1,FC Augsburg,,
2022,ECU,Ecuador,Ayrton Preciado,ayrton preciado,MF,1994-07-17,28,27,3,Santos Laguna,,
2022,ECU,Ecuador,Romario Ibarra,romario ibarra,MF,1994-09-24,28,25,3,Pachuca,,
2022,ECU,Ecuador,Michael Estrada,michael estrada,FW,1996-04-07,26,36,8,Cruz Azul,,
2022,ECU,Ecuador,Moisés Ramírez,moises ramirez,GK,2000-09-09,22,2,0,Independiente del Valle,,
2022,ECU,Ecuador,Enner Valencia,enner valencia,FW,1989-11-04,33,74,35,Fenerbahçe,,
2022,ECU,Ecuador,Xavier Arreaga,xavier arreaga,DF,1994-09-28,28,18,1,Seattle Sounders FC,,
2022,ECU,Ecuador,Ángel Mena,angel mena,MF,1988-01-21,34,46,7,León,,
2022,ECU,Ecuador,Jeremy Sarmiento,jeremy sarmiento,MF,2002-06-16,20,9,0,Brighton & Hove Albion,,
2022,ECU,Ecuador,Ángelo Preciado,angelo preciado,DF,1998-02-18,24,24,0,Genk,,
2022,ECU,Ecuador,Diego Palacios,diego palacios,DF,1999-07-12,23,12,0,Los Angeles FC,,
